"Nome","População","Bandeira","Coat of Arms","Endereço"
"Vitorino-PR","6 509","","","Rua Barão de Capanema, 134 – – Vitorino – PR – CEP: 85520-000"
"Vitorino Freire-MA","30845","","","Rua José Cipriano, 36 – Vitorino Freire – MA – CEP: 65320-000"
"Vitória-ES","369 534","","","Avenida Marechal Mascarenhas de Moraes, 1927 – Vitória – ES – CEP: 29050-945"
"Vitória do Xingu-PA","15 279","","","Avenida Manuel Felix de Farias – Vitória do Xingu – PA – CEP: 68383-000"
"Vitória do Mearim-MA","32 956","","","Avenida Carlos Raimundo Figueiredo, 10 – Vitória do Mearim – MA – CEP: 65350-000"
"Vitória do Jari-AP","12 445","","","Avenida José Simeão de Sousa, 4591 – Vitória do Jari – AP – CEP: 68924-000"
"Vitória de Santo Antão-PE","140 389","","","Rua Demócrito Cavalcanti, 144 – Vitória de Santo Antão – PE – CEP: 55602-420"
"Vitória das Missões-RS","3 052","","","Rua Sete Povos, 2033 – Centro – Vitória das Missões – RS – CEP: 98850-000"
"Vitória da Conquista-BA","370 879","","","Praça Joaquim Corrêia, 55 – Vitória da Conquista – BA – CEP: 45040-901"
"Vitória Brasil-SP","1 737","","","Rua José Nogueira de Souza, 364 – Vitória Brasil – SP – CEP: 15705-000"
"Vitor Meireles-SC","5370","","","Rua Santa Catarina, 1122 – Vitor Meireles – SC – CEP: 89148-000"
"Vista Serrana-PB","3 641","","","Rua Cel Manoel Medeiros de Araújo, 120 – Vista Serrana – PB – CEP: 58710-000"
"Vista Gaúcha-RS","2 858","","","Avenida Nove de Maio, 1015 – Vista Gaúcha – RS – CEP: 98535-000"
"Vista Alegre-RS","2 726","","","Avenida Sol da América, 347 – Vista Alegre – RS – CEP: 98415-000"
"Vista Alegre do Prata-RS","1 553","","","Rua Flores da Cunha, 102 – Vista Alegre do Prata – RS – CEP: 95325-000"
"Vista Alegre do Alto-SP","8 989","","","Praça Dr Emílio Henrique Ower Sandolth, 278 – Vista Alegre do Alto – SP – CEP: 15920-000"
"Viseu-PA","62 093","","","Rua Lauro Sodré, 101 – Viseu – PA – CEP: 68620-000"
"Visconde do Rio Branco-MG","39 160","","","Praça 28 de Setembro, s/n – Visconde do Rio Branco – MG – CEP: 36520-000"
"Virmond-PR","3 950","","","Rua XV de Novembro, 608 – Virmond – PR – CEP: 85390-000"
"Virgolândia-MG","5 659","","","Rua Prefeito Quim Júlio, 63 – Virgolândia – MG – CEP: 39715-000"
"Virginópolis-MG","10 314","","","Rua Fêlix Gomes, 290 – Virginópolis – MG – CEP: 39730-000"
"Virgínia-MG","8 867","","","Rua Rau da Costa Pinto, 444 – Virgínia – MG – CEP: 37465-000"
"Virgem da Lapa-MG","13 764","","","Rua Gov Valadares, 72 – Virgem da Lapa – MG – CEP: 39630-000"
"Viradouro-SP","19017","","","Praça Maj Manoel Joaquim, 349 – Viradouro – SP – CEP: 14740-000"
"Vinhedo-SP","81 516","","","Rua Humberto Pescarini, 330 – Vinhedo – SP – CEP: 13280-000"
"Vilhena-RO","104 517","","","Centro Adm Sen Dr Teotônio Vilela, s/nº – Vilhena – RO – CEP:"
"Vila Velha-ES","467 722","","","Rua Henrique Laranja, 397 – Vila Velha – ES – CEP: 29100-903"
"Vila Valério-ES","28 900","","","Rua Lourenço de Martins, 190 – Vila Valério – ES – CEP: 29785-000"
"Vila Rica-MT","23 057","","","Avenida Brasil, 1125 – Vila Rica – MT – CEP: 78645-000"
"Vila Propício-GO","5 520","","","Praça Stº Antônio, 775 – Vila Propício – GO – CEP: 76393-000"
"Vila Pavão-ES","9 414","","","Rua Travessa Pavão, 80, 1º Andar – Vila Pavão – ES – CEP: 29843-000"
"Vila Nova dos Martírios-MA","13 227","","","Avenida Rio Branco, s/n – Vila Nova dos Martírios – MA – CEP: 65924-000"
"Vila Nova do Sul-RS","4 274","","","Avenida Dário Antunes da Rosa, 432 – Centro – Vila Nova do Sul – RS – CEP: 97385-000"
"Vila Nova do Piauí-PI","3 076","","","Avenida Sto Antônio, 210 – Vila Nova do Piauí – PI – CEP: 64688-000"
"Vila Maria-RS","4 368","","","Rua Irmãos Buzatto, 450 – Vila Maria – RS – CEP: 99155-000"
"Vila Lângaro-RS","2 070","","","Avenida 22 de Outubro, 311 – Vila Lângaro – RS – CEP: 99955-000"
"Vila Flores-RS","3 407","","","Rua Fabiano Ferretto, 300 – Vila Flores – RS – CEP: 95334-000"
"Vila Flor-RN","3 194","","","Rua José Calazans, 169 – Vila Flor – RN – CEP: 59192-000"
"Vila Boa-GO","6 026","","","BR 020, 350 – Vila Boa – GO – CEP: 73825-000"
"Vila Bela da Santíssima Trindade-MT","16 128","","","Rua Dr Mário Correa, 205 – Vila Bela da Santíssima Trindade – MT – CEP: 78245-000"
"Vigia-PA","53 686","","","Praça da Independência, s/n – Vigia – PA – CEP: 68780-000"
"Vieirópolis-PB","5 102","","","Rua Antonio Moreira Pinto, 16 – Vieirópolis – PB – CEP: 58822-000"
"Vieiras-MG","3 700","","","Rua Dr Olavo Tostes N, 56 – Vieiras – MG – CEP: 36895-000"
"Videira-SC","55 466","","","Avenida Manoel Roque, 188 – Centro – Videira – SC – CEP: 89560-000"
"Vidal Ramos-SC","6 189","","","Avenida Jorge Lacerda, 1180 – Centro – Vidal Ramos – SC – CEP: 88443-000"
"Victor Graeff-RS","2 780","","","Avenida João Amann, 690 – Centro – Victor Graeff – RS – CEP: 99350-000"
"Viçosa-RN","1 822","","","Rua Ozéias Pinto, 140 – Viçosa – RN – CEP: 59815-000"
"Viçosa-MG","76 430","","","Praça do Rosário, 5 – Viçosa – MG – CEP: 36570-000"
"Viçosa-AL","25 693","","","Rua do Centenário, 2 – Viçosa – AL – CEP: 57700-000"
"Viçosa do Ceará-CE","59712","","","Rua Silva Jardim n°436 Centro – Viçosa do Ceará – CE – CEP: 62300-000"
"Vicentinópolis-GO","8 053","","","Rua Orcalino Ferreira de Meireles, 70 – Vicentinópolis – GO – CEP: 75555-000"
"Vicentina-MS","6 336","","","Rua Arlinda Lopes Dias, 550 – Vicentina – MS – CEP: 35010-141"
"Vicente Dutra-RS","4 530","","","Rua Garibaldi, 41 – Vicente Dutra – RS – CEP: 98450-000"
"Vicência-PE","32 014","","","Rua Dr manoel Borba 48 – Vicência – PE – CEP: 55850-000"
"Vianópolis-GO","12 548","","","Rua José Issy, 115 – Vianópolis – GO – CEP: 75260-000"
"Viana-MA","52 441","","","Avenida Antônio Lopes, 141 – Viana – MA – CEP: 65215-000"
"Viana-ES","80 735","","","Avenida Florentino Ávidos, 1 – Viana – ES – CEP: 29135-000"
"Viamão-RS","257 330","","","Praça Júlio de Castilhos, s/n – Viamão – RS – CEP: 94410-055"
"Viadutos-RS","4 628","","","Rua Anastácio Ribeiro, 84 – Viadutos – RS – CEP: 99820-000"
"Vespasiano-MG","129 246","","","Avenida Prefeito Sebastião Fernades, 479 – Vespasiano – MG – CEP: 33200-000"
"Vespasiano Corrêa-RS","1 776","","","Avenida Professor Sergio Beninho Gheno 1046 – – Vespasiano Correa – RS – CEP: 95972-000"
"Vertentes-PE","20 731","","","Rua Dr Emídio Cavalcante, 97 – Vertentes – PE – CEP: 55770-000"
"Vertente do Lério-PE","7 693","","","Praça Severino Barbosa de Sales, 40 – Vertente do Lério – PE – CEP: 55760-000"
"Vermelho Novo-MG","4 852","","","Rua Prefeito Wilson Damião, 48 A – Vermelho Novo – MG – CEP: 35359-000"
"Veríssimo-MG","3 826","","","Praça Ver Fernando da Silva Melo, s/n – – Centro – Veríssimo – MG – CEP: 38150-000"
"Veredinha-MG","5 773","","","Praça Senhora do Patrocínio, 36 – Veredinha – MG – CEP: 39663-000"
"Vereda-BA","6 003","","","Avenida Eujácio Simões, 32 – Vereda – BA – CEP: 45955-000"
"Verê-PR","7 094","","","Rua Pioneiro Antônio Fabiane, 316 – Verê – PR – CEP: 85585-000"
"Verdelândia-MG","8 350","","","Avenida Renato Azeredo, 2001 – Verdelândia – MG – CEP: 39458-000"
"Verdejante-PE","9 430","","","Praça Raimundo Targino Ferreira, 22 – Verdejante – PE – CEP: 56120-000"
"Veranópolis-RS","26 813","","","Rua Alfredo Chaves, 366 – Cx Postal 181 – Veranópolis – RS – CEP: 95330-000"
"Vera-MT","13 876","","","Avenida Otawa, 1651 – Vera – MT – CEP: 78880-000"
"Vera Mendes-PI","2 987","","","Rua Isaac Vera, 260 – Vera Mendes – PI – CEP: 64568-000"
"Vera Cruz-SP","10 769","","","Avenida 7 de Setembro, 885 – Vera Cruz – SP – CEP: 17560-000"
"Vera Cruz-RS","27 325","","","Avenida Nestor Frederico Henn, 1645 – – Vera Cruz – RS – CEP: 96880-000"
"Vera Cruz-RN","12 789","","","Rua Geronimo de Albuquerque, 1 – Vera Cruz – RN – CEP: 59184-000"
"Vera Cruz-BA","44 185","","","Rua São Bento, 123 – Vera Cruz – BA – CEP: 44470-000"
"Vera Cruz do Oeste-PR","8 521","","","Rua Rui Barbosa 202 – Vera Cruz do Oeste – PR – CEP: 85845-000"
"Venturosa-PE","18 835","","","Rua Antônio Alexandre da Silva, 34 – Venturosa – PE – CEP: 55270-000"
"Ventania-PR","11 093","","","Avenida Anacleto Bueno de Camargo, 561 – Ventania – PR – CEP: 84345-000"
"Venha-Ver-RN","4 121","","","Rua José Bernado de Aquino, 53 – Venha-Ver – RN – CEP: 59925-000"
"Venda Nova do Imigrante-ES","26 204","","","Avenida Evandi Américo Comarela, 385 – Venda Nova do Imigrante – ES – CEP: 29375-000"
"Venâncio Aires-RS","72 373","","","Rua Osvaldo Aranha, 634 – – Venâncio Aires – RS – CEP: 95800-000"
"Vazante-MG","19 975","","","Rua Osório Soares, 600 – Vazante – MG – CEP: 38780-000"
"Vassouras-RJ","33 976","","","Rua Barão de Vassouras, 45 – Vassouras – RJ – CEP: 27700-000"
"Varzelândia-MG","19 320","","","Praça Cícero Dumont, 30 – Varzelândia – MG – CEP: 39450-000"
"Varzedo-BA","9 913","","","Rua Coronel José Augusto, s/n – Varzedo – BA – CEP: 44565-000"
"Várzea-RN","5 227","","","Rua Cel Felipe Jorge, 20 – Várzea – RN – CEP: 59185-000"
"Várzea-PB","2 820","","","Rua Manoel Dantas, 279 – Várzea – PB – CEP: 58620-000"
"Várzea Paulista-SP","115 771","","","Avenida Fernão Dias Paes Leme, 284 – Várzea Paulista – SP – CEP: 13220-001"
"Várzea Nova-BA","13 377","","","Praça Otacílio Alcântara, 238 – Várzea Nova – BA – CEP: 44690-000"
"Várzea Grande-PI","4 336","","","Praça Juscelino Kubistchek 351 – Várzea Grande – PI – CEP: 64525-000"
"Várzea Grande-MT","300 078","","","Avenida Castelo Branco 2500 – Várzea Grande – MT – CEP: 78125-700"
"Várzea do Poço-BA","8 101","","","Rua Nabor Lima Rios, 17 – Várzea do Poço – BA – CEP: 44715-000"
"Várzea da Roça-BA","13 787","","","Praça da Bandeira, 125 – Várzea da Roça – BA – CEP: 44635-000"
"Várzea da Palma-MG","39 129","","","Rua Joaquim Marques de Carvalho, 759 – Várzea da Palma – MG – CEP: 39260-000"
"Várzea Branca-PI","4 913","","","Praça Santa Teresinha, s/n – – – Várzea Branca – PI – CEP: 64773-000"
"Várzea Alegre-CE","38 434","","","Rua Dep Luis Otacilio Correa, 153 – Centro – Várzea Alegre – CE – CEP: 63540-000"
"Varre-Sai-RJ","11 208","","","Praça Pe Abaeté Cordeiro, 16 – Varre-Sai – RJ – CEP: 28375-000"
"Varjota-CE","18 420","","","Rua Artur Ramos, 232 – Varjota – CE – CEP: 62265-000"
"Varjão-GO","3 661","","","Praça Moisés Franco, 25 – Varjão – GO – CEP: 75355-000"
"Varjão de Minas-MG","6 054","","","Rua Vasco Ribeiro, 345 – Varjão de MInas – MG – CEP: 38794-000"
"Varginha-MG","137 608","","","Rua Júlio Paulo Marceline, 50 – Varginha – MG – CEP: 37018-050"
"Vargem-SP","10 842","","","Rua Geraldino de Oliveira, 236 – Vargem – SP – CEP: 12935-000"
"Vargem-SC","2 808","","","Rua Benjamin Margotti, 289 – Centro – Vargem – SC – CEP: 89628-000"
"Vargem Grande-MA","56 510","","","Rua Nina Rodrigues, 20 – Vargem Grande – MA – CEP: 65430-000"
"Vargem Grande Paulista-SP","42 946","","","Praça da Matriz, 75 – Vargem Grande Paulista – SP – CEP: 06730-000"
"Vargem Grande do Sul-SP","50000","","","Praça Washington Luis, 643 – Vargem Grande do Sul – SP – CEP: 13880-000"
"Vargem Grande do Rio Pardo-MG","4 733","","","Rua dos Esportes, 63 – Vargem Grande do Rio Pardo – MG – CEP: 39535-000"
"Vargem Bonita-SC","4 576","","","Rua Cel Vitório, 966 – Vargem Bonita – SC – CEP: 89675-000"
"Vargem Bonita-MG","2158","","","Avenida São Paulo, 83 – Vargem Bonita – MG – CEP: 37922-000"
"Vargem Alta-ES","19 563","","","Avenida Paulino Francisco Moreira, 162 – Vargem Alta – ES – CEP: 29295-000"
"Vargem Alegre-MG","6 491","","","Rua José Rodrigues Campos, 53 – Vargem Alegre – MG – CEP: 35199-000"
"Vargeão-SC","3 634","","","R, 7 de Setembro, 477 – Vargeão – SC – CEP: 89690-000"
"Vanini-RS","2 130","","","Rua Governador Meneghetti 297 – Vanini – RS – CEP: 99290-000"
"Valparaíso-SP","24 241","","","Rua Comendador Geremias Lunardelli, 147 – Valparaíso – SP – CEP: 16880-000"
"Valparaíso de Goiás-GO","198 861","","","Rua Desembargador Dr José Dilermando Meireles Avenida Central Norte, s/n – – Valparaíso de Goiás – GO – CEP: 72870-000"
"Valinhos-SP","129 193","","","Rua Antônio Carlos, 301 – Valinhos – SP – CEP: 13270-970"
"Valentim Gentil-SP","11 036","","","Praça Jacilândia, 433 – Valentim Gentil – SP – CEP: 15520-000"
"Valente-BA","31 172","","","Praça Getúlio Vargas, 1 – Valente – BA – CEP: 48890-000"
"Valença-RJ","77 202","","","Rua Doutor Figueiredo, 320 – Valença – RJ – CEP: 27600-000"
"Valença-BA","97 233","","","Travessa General Labatut, s/n – Valença – BA – CEP: 45400-000"
"Valença do Piauí-PI","29 555","","","Praça Teodomiro Lima Verde, s/n – Valença do Piauí – PI – CEP: 64300-000"
"Vale Verde-RS","3 531","","","Rua Assis Brasil, 449 – Vale Verde – RS – CEP: 95833-000"
"Vale Real-RS","6 046","","","Rua Rio Branco, 659 – Vale Real – RS – CEP: 95778-000"
"Vale do Sol-RS","11 873","","","Rua Augusto Emmel, 96 – Vale do Sol – RS – CEP: 96878-000"
"Vale do Paraíso-RO","8 218","","","Avenida Paraíso, s/n – Vale do Paraíso – RO – CEP: 76923-000"
"Vale do Anari-RO","11 204","","","Avenida 23 de Agosto, 3886 – Vale do Anari – RO – CEP: 76867-000"
"Vale de São Domingos-MT","3 126","","","Avenida Tancredo Neves, 88 – Vale de São Domingos – MT – CEP: 78253-000"
"Vacaria-RS","66 916","","","Rua Ramiro Barcelos, 915 – Vacaria – RS – CEP: 95200-000"
"Utinga-BA","19 098","","","Rua XV de Novembro, 8 – Utinga – BA – CEP: 46810-000"
"Urutaí-GO","3 058","","","Praça Manoel Benjamim Cotrin, 42 – Urutaí – GO – CEP: 75790-000"
"Urussanga-SC","20 919","","","Praça da Bandeira, 12 – Urussanga – SC – CEP: 88840-000"
"Urupês-SP","13 744","","","Rua Gustavo Martins Cerqueira, 463 – Urupês – SP – CEP: 15850-000"
"Urupema-SC","2 465","","","Avenida Manoel Pereira de Medeiros, 155 – Urupema – SC – CEP: 88625-000"
"Urupá-RO","11 272","","","Avenida Jorge Teixeira de Oliveira, 4872 – Urupá – RO – CEP: 76929-000"
"Uruoca-CE","12 894","","","Rua João Rodrigues, 139 – Uruoca – CE – CEP: 62460-000"
"Uruguaiana-RS","117 210","","","Rua XV de Novembro, 1882 – Uruguaiana – RS – CEP: 97500-500"
"Urucurituba-AM","24 098","","","Avenida Presidente Castelo Branco, 445 – Urucurituba – AM – CEP: 69180-000"
"Urucuia-MG","16 547","","","Rodovia MG 202 Km 120 – Urucuia – MG – CEP: 39315-000"
"Uruçuí-PI","25 203","","","Praça Deputado Sebastião Leal, 2 – Uruçuí – PI – CEP: 64860-000"
"Uruçuca-BA","21 420","","","Rua Vital Soares, 100 – Uruçuca – BA – CEP: 45680-000"
"Urucará-AM","16 007","","","Rua Crispim Lobo, 111 – Urucará – AM – CEP: 69130-000"
"Urucânia-MG","10 291","","","Praça Leopoldino Januário Pereira, 314 – Urucânia – MG – CEP: 35380-000"
"Uruburetama-CE","20 991","","","Praça Soares Bulcão, 197 – Uruburetama – CE – CEP: 62650-000"
"Urubici-SC","11 235","","","Praça Francisco Pereira de Sousa, 53 – Centro – Urubici – SC – CEP: 88650-000"
"Uruará-PA","45 395","","","Rodovia Perimental Norte, 526 – Uruará – PA – CEP: 68140-000"
"Uruana-GO","13 826","","","Praça João Rocha Borges, s/n – Uruana – GO – CEP: 76335-000"
"Uruana de Minas-MG","3 256","","","Avenida Brasília, 450 – Uruana de Minas – MG – CEP: 38630-000"
"Uruaçu-GO","42 546","","","Rua Dona Cândida esq Com Goiás – Uruaçu – GO – CEP: 76400-000"
"Uru-SP","1 177","","","Avenida Francisco Telles, 461 – Uru – SP – CEP: 16650-000"
"Urbano Santos-MA","35 000","","","Avenida Manuel Inácio, 205 – Urbano Santos – MA – CEP: 65530-000"
"Urânia-SP","8 836","","","Avenida Brasil, 390 – Urânia – SP – CEP: 15760-000"
"Urandi-BA","15 355","","","Rua 15 de novembro, 57 – Urandi – BA – CEP: 46350-000"
"Uraí-PR","11 472","","","Rua Rio de Janeiro, 496 – Centro – Uraí – PR – CEP: 86280-000"
"Upanema-RN","14 800","","","Rua João Francisco, 90 – Upanema – RN – CEP: 59670-000"
"Unistalda-RS","2 306","","","Largo Inácio Lopes Filho, 01 – Unistalda – RS – CEP: 97755-000"
"Uniflor-PR","2 614","","","Avenida das Flores, 118 – Uniflor – PR – CEP: 87640-000"
"União-PI","46 119","","","Praça Barão de Gurguéia, 443 – União – PI – CEP: 64120-000"
"União Paulista-SP","1 603","","","Rua 21 de Março, 881 – União Paulista – SP – CEP: 15250-000"
"União dos Palmares-AL","65 790","","","Rua Marechal Deodoro da Fonseca, s/n – União dos Palmares – AL – CEP: 57800-000"
"União do Sul-MT","3838","","","Avenida Florianópolis, 168 – União do Sul – MT – CEP: 78543-000"
"União do Oeste-SC","2 910","","","Avenida São Luiz, 531 – União do Oeste – SC – CEP: 89845-000"
"União de Minas-MG","4 325","","","Avenida 5, 1137 – Centro – União de Minas – MG – CEP: 38288-000"
"União da Vitória-PR","55 033","","","Rua Dr Cruz Machado, 205 – 3° e 4° andares – União da Vitória – PR – CEP: 84600-000"
"União da Serra-RS","1 084","","","Capela São Luiz – Centro Administrativo, s/n – União da Serra – RS – CEP: 99215-000"
"Unaí-MG","86 619","","","Praça Juscelino Kubitscheck, s/n – Unaí – MG – CEP: 38610-000"
"Una-BA","18 131","","","Praça Dr Manoel Pereira de Almeida, 14 – Una – BA – CEP: 45690-000"
"Umuarama-PR","117 095","","","Avenida Rio Branco, 3717 – Umuarama – PR – CEP: 87501-130"
"Umirim-CE","18 807","","","Rua Major Sales, 28 – Umirim – CE – CEP: 62660-000"
"Umbuzeiro-PB","9 298","","","Avenida Carlos Pessoa, 92 – Umbuzeiro – PB – CEP: 58497-000"
"Umburatiba-MG","2 700","","","Praça Tancredo Neves, 219 – Umburatiba – MG – CEP: 39878-000"
"Umburanas-BA","13511","","","Avenida Severino Ribeiro Granja, 199 – Umburanas – BA – CEP: 44798-000"
"Umbaúba-SE","24 832","","","Praça Gil Soares, 272 – Umbaúba – SE – CEP: 49260-000"
"Umarizal-RN","10 555","","","Avenida Gavião, 19 – Umarizal – RN – CEP: 59865-000"
"Umari-CE","7 545","","","Rua 3 de Agosto, 200 – Umari – CE – CEP: 63310-000"
"Ulianópolis-PA","57 525","","","Avenida Pará, 651 – Ulianópolis – PA – CEP: 68632-000"
"Uiraúna-PB","15 382","","","Rua Major José Fernandes, 146 – Uiraúna – PB – CEP: 58915-000"
"Uirapuru-GO","2 973","","","Avenida das Perdizes Quadra 24 Lts, 4, 5 – Uirapuru – GO – CEP: 76525-000"
"Uiramutã-RR","11 014","","","Rua Cici Mota, s/n – Uiramutã – RR – CEP: 69358-000"
"Uibaí-BA","13 895","","","Avenida Pedro Joaquim Machado, s/n – Uibaí – BA – CEP: 44950-000"
"Uchoa-SP","10 394","","","Avenida Pedro de Toledo, 1011 – Uchoa – SP – CEP: 15890-000"
"Ubiretama-RS","1 952","","","Rua São Luiz, 125 – Ubiretama – RS – CEP: 98898-000"
"Ubiratã-PR","24 749","","","Avenida Nilza de Oliveira Pipino, 1852 – Centro – Ubiratã – PR – CEP: 85440-000"
"Ubirajara-SP","4 429","","","Praça Porcino Antônio de Lima, 530 – Ubirajara – SP – CEP: 17440-000"
"Uberlândia-MG","713 224","","","Avenida Ancelmo Alves Santos, 600 – Uberlândia – MG – CEP: 38408-150"
"Uberaba-MG","337 846","","","Avenida Dom Luís Maria Santana, 141 – Uberaba – MG – CEP: 38061-080"
"Ubatuba-SP","92 819","","","Avenida Dona Maria Alves, 865 – Ubatuba – SP – CEP: 11680-000"
"Ubatã-BA","16 111","","","Rua lago de Freitas, 199 – Ubatã – BA – CEP: 45550-000"
"Ubarana-SP","5 365","","","Rua João Virgínio dos Santos, 505 – Ubarana – SP – CEP: 15225-000"
"Ubaporanga-MG","12 449","","","Praça João Ribeiro, 62 – Ubaporanga – MG – CEP: 35338-000"
"Ubajara-CE","31 792","","","Rua Juvêncio Pereira, 514 – Centro – Ubajara – CE – CEP: 62350-000"
"Ubaitaba-BA","17 610","","","Rua Rafael Oliveira, 1 – Ubaitaba – BA – CEP: 45545-000"
"Ubaíra-BA","20 800","","","Praça Três Poderes, 39 – Ubaíra – BA – CEP: 45310-000"
"Ubaí-MG","10 551","","","Rua Francisco Macambira, 37 – Ubaí – MG – CEP: 39320-000"
"Ubá-MG","103 365","","","Praça São Januário, 238 – Ubá – MG – CEP: 36500-000"
"Uauá-BA","24 665","","","Praça Belarmino Jose Rodrigues, s/n – Uauá – BA – CEP: 48950-000"
"Uarini-AM","13 839","","","Rua 19 de Abril, 1021 – Uarini – AM – CEP: 69485-000"
"Tutóia-MA","58 860","","","Praça Getúlio Vargas, 61 – Tutóia – MA – CEP: 65580-000"
"Turvolândia-MG","4 658","","","Praça Dom Otávio, 240 – Turvolândia – MG – CEP: 37496-000"
"Turvo-SC","13 080","","","Rua Nereu Ramos, 588 – Centro – Turvo – SC – CEP: 88930-000"
"Turvo-PR","13 838","","","Avenida 12 de Maio, 353 – Centro – Turvo – PR – CEP: 85150-000"
"Turvelândia-GO","5 447","","","Avenida José Mário da Costa Rezende, 13 – Turvelândia – GO – CEP: 75970-000"
"Turvânia-GO","4 633","","","Avenida Dr Ulisses Guimarães, 458 – Turvânia – GO – CEP: 76110-000"
"Tururu-CE","15 412","","","Rua Francisco Sales 132 – Tururu – CE – CEP: 62655-000"
"Turuçu-RS","3 408","","","BR 116 Km 482, s/n – Turuçu – RS – CEP: 96148-000"
"Turmalina-SP","1 696","","","Avenida Sta Helena, 200 – Turmalina – SP – CEP: 15755-000"
"Turmalina-MG","19 762","","","Avenida Lauro Machado 230 – Turmalina – MG – CEP: 39660-000"
"Turiúba-SP","2 013","","","Rua Joaquim Pedro Marques, 466 – Turiúba – SP – CEP: 15280-000"
"Turilândia-MA","22 850","","","Rua Principal, 100 – Turilândia – MA – CEP: 65276-000"
"Turiaçu-MA","33 956","","","Rua Dr Paulo Ramos, 143 – Turiaçu – MA – CEP: 65278-000"
"Tupiratins-TO","2 097","","","Avenida Tocantins, 36 – Tupiratins – TO – CEP: 77743-000"
"Tupirama-TO","1 574","","","Rua Abraão Aguiar, s/n – Tupirama – TO – CEP: 77704-000"
"Tupi Paulista-SP","15 404","","","Rua Júlio Cantadori, 405 – Tupi Paulista – SP – CEP: 17930-000"
"Tupãssi-PR","8 077","","","Praça Santos Dumont, s/n – – Centro – Tupãssi – PR – CEP: 85945-000"
"Tuparetama-PE","8 169","","","Avenida Central, s/n – Tuparetama – PE – CEP: 56760-000"
"Tuparendi-RS","7 730","","","Avenida Tucunduva, 2617 – Tuparendi – RS – CEP: 98940-000"
"Tupandi-RS","5 019","","","Avenida Salvador, 1919 – – Tupandi – RS – CEP: 95775-000"
"Tupanciretã-RS","24 182","","","Rua Expedicionário João Moreira Alberto, 181 – Tupanciretã – RS – CEP: 98170-000"
